"Year","County","Index.Total","Violent.Total","Murder","Rape","Robbery","Aggravated.Assault","Property.Total","Burglary","Larceny","Motor.Vehicle.Theft","Region","Population"
2011,"Clinton",20.6765767419098,0.905364898758182,0.0122346607940295,0.195754572704472,0.0734079647641769,0.623967700495504,19.7712118431516,3.74380620297302,15.7093044595339,0.318101180644767,"Non-New York City",81735
2012,"Clinton",20.6166646274318,1.10118683469962,0,0.183531139116603,0.0856478649210816,0.832007830661936,19.5154777927322,3.35250214119662,15.6980300991068,0.464945552428729,"Non-New York City",81730
2013,"Clinton",20.4306877268714,1.3612282939272,0.0367899538899245,0.257529677229471,0.110369861669773,0.956538801138036,19.0694594329442,3.21298930638674,15.3782007259884,0.478269400569018,"Non-New York City",81544
2014,"Clinton",16.0496705400199,0.834386541835896,0.0368111709633483,0.233137416101206,0.0613519516055806,0.503086003165761,15.215283998184,2.41726689325987,12.5157981275384,0.282218977385671,"Non-New York City",81497
2015,"Clinton",15.4905335628227,1.423989895863,0,0.730568729181887,0.0742951250015478,0.619126041679565,14.0665436669597,2.1297935833777,11.6395695835758,0.297180500006191,"Non-New York City",80759
2016,"Clinton",17.3246730666534,1.67658126451485,0,0.83208107201848,0.049676481911551,0.794823710584816,15.6480918021386,2.49624321605544,12.9158852970033,0.235963289079867,"Non-New York City",80521
2017,"Clinton",15.0753768844221,1.6750418760469,0,0.81890936162293,0.0992617408027793,0.756870773621192,13.4003350083752,2.12171970965941,10.9932377939078,0.285377504807991,"Non-New York City",80595
2018,"Clinton",14.3786798884413,2.15680198326619,0.0247908273938643,1.0784009916331,0.111558723272389,0.942051440966842,12.2218779051751,1.72296250387357,10.1394484040905,0.359466997211032,"Non-New York City",80675
2019,"Clinton",14.6568204820632,1.59938024015694,0.0124951581262261,0.787194961952243,0.0499806325049044,0.749709487573565,13.0574402419063,1.59938024015694,11.2081568392248,0.249903162524522,"Non-New York City",80031
2020,"Clinton",14.2787359561117,1.61575170029685,0.0125252069790453,0.738987211763674,0.037575620937136,0.826663660616992,12.6629842558148,1.54060045842258,10.7967284159371,0.325655381455179,"Non-New York City",79839
2021,"Clinton",11.1005550277514,1.36256812840642,0.0125006250312516,0.612530626531327,0.0250012500625031,0.712535626781339,9.73798689934497,1.31256562828141,8.06290314515726,0.362518125906295,"Non-New York City",79996
2022,"Clinton",14.4502431653397,1.81580384239331,0.0253958579355707,0.90155295671276,0.101583431742283,0.787271596002692,12.6344393229464,1.23169910987518,10.7805416936498,0.622198519421482,"Non-New York City",78753
1990,"Columbia",31.0247372265092,4.01702073608333,0,0.111142866215744,0.111142866215744,3.79473500365184,27.0077164904258,7.08138833317456,18.7672668381442,1.15906131910705,"Non-New York City",62982
1991,"Columbia",36.8923404322899,5.76492448425366,0.0158813346673654,0.127050677338924,0.492321374688329,5.12967109755904,31.1274159480363,8.87766607905728,21.1539377769308,1.09581209204822,"Non-New York City",62967
1992,"Columbia",29.6545834124122,4.25444423356741,0,0.110710444739672,0.474473334598596,3.66926045422914,25.4001391788448,7.06965268551907,17.4922502688682,0.838236224457519,"Non-New York City",63228
1993,"Columbia",27.7322318219083,4.3198587374661,0.0157659078009712,0.141893170208741,0.378381787223308,3.78381787223308,23.4123730844422,6.85816989342246,15.7028441697673,0.851359021252444,"Non-New York City",63428
1994,"Columbia",26.5936521424413,3.79234921084517,0.0314717776833624,0.204566554941856,0.2517742214669,3.30453665675306,22.8013029315961,7.06541408991487,14.9333585107555,0.802530330925742,"Non-New York City",63549
1995,"Columbia",27.527825678006,5.04781313685531,0.0156764383132152,0.125411506505722,0.580028217588964,4.32669697444741,22.4800125411506,6.31760464022574,15.3785859852641,0.783821915660762,"Non-New York City",63790
1996,"Columbia",26.8919449901768,3.63064833005894,0,0.204322200392927,0.408644400785855,3.01768172888016,23.2612966601179,5.50098231827112,17.0373280943026,0.722986247544204,"Non-New York City",63625
1997,"Columbia",27.3049366191638,4.75553106054641,0.0314935831824266,0.0944807495472797,0.472403747736399,4.15715298008031,22.5494055586174,5.77907251397528,16.1404613809936,0.629871663648532,"Non-New York City",63505
